time(sec),flameHeight(cm)
-2.13316,52.0418
-2.13174,52.4584
-2.13002,53.2917
-2.12862,53.7083
-2.12687,54.1249
-2.12546,54.5417
-2.12372,54.9583
-2.12229,55.3749
-2.12053,55.7916
-2.11909,55.7916
-2.1173,56.2083
-2.11587,56.625
-2.11409,56.625
-2.11265,56.625
-2.11087,57.4584
-2.10947,57.4584
-2.10772,57.875
-2.10633,58.2917
-2.10461,58.7083
-2.10322,58.7083
-2.10154,58.2917
-2.10015,58.2917
-2.09847,46.2084
-2.09711,46.6251
-2.09545,47.4584
-2.09409,47.875
-2.09245,48.7083
-2.0911,49.125
-2.08947,49.5417
-2.08814,49.9584
-2.08653,50.7917
-2.08523,51.2084
-2.08366,52.0418
-2.08236,52.4584
-2.0808,52.875
-2.07951,53.2917
-2.07805,53.2917
-2.07684,53.7083
-2.07545,48.7083
-2.07424,48.7083
-2.07282,49.125
-2.07163,49.5416
-2.07025,49.5416
-2.06909,49.9583
-2.06765,50.3751
-2.06644,50.7917
-2.06502,51.2083
-2.06376,51.625
-2.06227,52.0418
-2.06101,52.4584
-2.05949,52.875
-2.0582,53.2917
-2.05666,53.2917
-2.05532,52.4584
-2.05376,52.8751
-2.05242,53.2917
-2.05077,53.7083
-2.04938,53.7083
-2.04776,52.875
-2.04641,53.7083
-2.0448,54.1249
-2.04351,54.5416
-2.0419,55.3749
-2.04062,55.7916
-2.03902,56.625
-2.03776,57.0417
