s,m/s
Time,w
 2.5480989E+000, 1.7609241E+000
 2.5505648E+000, 1.7597048E+000
 2.5530308E+000, 1.7593846E+000
 2.5554967E+000, 1.7591412E+000
 2.5579626E+000, 1.7588794E+000
 2.5604286E+000, 1.7580531E+000
 2.5628945E+000, 1.7594516E+000
 2.5653605E+000, 1.7622865E+000
 2.5678264E+000, 1.7660019E+000
 2.5702924E+000, 1.7711848E+000
 2.5727583E+000, 1.7775109E+000
 2.5752243E+000, 1.7843905E+000
 2.5776902E+000, 1.7938746E+000
 2.5801561E+000, 1.8038972E+000
 2.5826221E+000, 1.8167472E+000
 2.5850880E+000, 1.8321619E+000
 2.5875540E+000, 1.8491969E+000
 2.5900199E+000, 1.8666601E+000
 2.5924859E+000, 1.8857235E+000
 2.5949518E+000, 1.9064755E+000
 2.5974178E+000, 1.9280079E+000
 2.5998837E+000, 1.9503068E+000
 2.6023496E+000, 1.9719491E+000
 2.6048156E+000, 1.9937942E+000
 2.6072815E+000, 2.0149320E+000
 2.6097475E+000, 2.0361916E+000
 2.6122134E+000, 2.0561088E+000
 2.6146794E+000, 2.0751107E+000
 2.6171453E+000, 2.0924320E+000
 2.6196113E+000, 2.1088996E+000
 2.6220772E+000, 2.1235962E+000
 2.6247897E+000, 2.1380336E+000
 2.6275023E+000, 2.1503171E+000
 2.6302148E+000, 2.1633031E+000
 2.6329274E+000, 2.1759860E+000
 2.6356399E+000, 2.1884866E+000
 2.6383524E+000, 2.2004747E+000
 2.6410650E+000, 2.2118462E+000
 2.6437775E+000, 2.2237776E+000
 2.6464900E+000, 2.2354412E+000
 2.6492026E+000, 2.2475465E+000
 2.6519151E+000, 2.2596800E+000
 2.6546277E+000, 2.2710612E+000
 2.6573402E+000, 2.2817589E+000
 2.6600527E+000, 2.2917396E+000
 2.6627653E+000, 2.3011838E+000
 2.6654778E+000, 2.3088793E+000
 2.6681904E+000, 2.3167306E+000
 2.6709029E+000, 2.3236214E+000
 2.6736154E+000, 2.3288895E+000
 2.6763280E+000, 2.3355180E+000
 2.6790405E+000, 2.3421718E+000
 2.6817531E+000, 2.3490506E+000
 2.6844656E+000, 2.3582138E+000
 2.6871781E+000, 2.3670572E+000
 2.6898907E+000, 2.3771692E+000
 2.6926032E+000, 2.3870014E+000
 2.6953158E+000, 2.3971855E+000
 2.6980283E+000, 2.4043415E+000
 2.7007408E+000, 2.4128883E+000
 2.7034534E+000, 2.4176386E+000
 2.7061659E+000, 2.4201747E+000
 2.7088784E+000, 2.4192632E+000
 2.7115910E+000, 2.4165108E+000
 2.7143035E+000, 2.4099719E+000
 2.7170161E+000, 2.4021429E+000
 2.7197286E+000, 2.3934351E+000
 2.7224411E+000, 2.3864997E+000
 2.7248532E+000, 2.3819783E+000
 2.7272653E+000, 2.3795821E+000
 2.7296773E+000, 2.3783446E+000
 2.7320894E+000, 2.3791480E+000
 2.7345015E+000, 2.3811223E+000
 2.7369135E+000, 2.3855508E+000
 2.7393256E+000, 2.3904894E+000
 2.7417377E+000, 2.3951502E+000
 2.7441497E+000, 2.3977232E+000
 2.7465618E+000, 2.3969570E+000
 2.7489739E+000, 2.3907170E+000
 2.7513859E+000, 2.3778727E+000
 2.7537980E+000, 2.3577703E+000
 2.7562101E+000, 2.3298416E+000
 2.7586221E+000, 2.2943018E+000
 2.7610342E+000, 2.2509406E+000
 2.7634463E+000, 2.2004864E+000
 2.7658583E+000, 2.1456028E+000
 2.7682704E+000, 2.0877425E+000
 2.7706825E+000, 2.0283564E+000
 2.7730945E+000, 1.9692986E+000
 2.7755066E+000, 1.9129761E+000
